"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDIL","EQ","19-Nov-2015","         62.50","         63.00","         64.20","         62.25","         63.85","         63.85","         63.26","    7068099","       4471.28","      21787","    1060420","         15.00"
"HDIL","EQ","20-Nov-2015","         63.85","         63.70","         65.40","         63.60","         64.40","         64.50","         64.53","    7265619","       4688.67","      27388","    1198632","         16.50"
"HDIL","EQ","23-Nov-2015","         64.50","         64.80","         65.45","         64.25","         64.80","         64.95","         64.87","    4909651","       3184.80","      18207","     797303","         16.24"
"HDIL","EQ","24-Nov-2015","         64.95","         65.30","         68.25","         64.70","         66.75","         67.15","         66.78","   12499401","       8347.10","      47470","    2360390","         18.88"
"HDIL","EQ","26-Nov-2015","         67.15","         67.50","         70.25","         66.80","         70.25","         69.70","         68.93","   12871783","       8872.38","      43471","    2594515","         20.16"
"HDIL","EQ","27-Nov-2015","         69.70","         70.10","         70.95","         67.85","         69.35","         69.40","         69.44","    9261895","       6431.80","      32251","     912392","          9.85"
"HDIL","EQ","30-Nov-2015","         69.40","         69.40","         72.25","         69.35","         71.00","         71.30","         70.99","    8753071","       6213.84","      31545","    1222310","         13.96"
"HDIL","EQ","01-Dec-2015","         71.30","         71.75","         72.80","         70.35","         70.65","         70.90","         71.20","    7924986","       5642.48","      26487","     825490","         10.42"
"HDIL","EQ","02-Dec-2015","         70.90","         71.30","         71.45","         69.10","         70.55","         70.50","         70.40","    6435887","       4530.74","      19338","     776180","         12.06"
"HDIL","EQ","03-Dec-2015","         70.50","         69.95","         72.40","         69.50","         70.25","         70.60","         71.11","    8347598","       5935.77","      27084","     656774","          7.87"
"HDIL","EQ","04-Dec-2015","         70.60","         69.80","         70.50","         68.00","         68.40","         68.35","         69.41","    5894809","       4091.64","      21905","     716246","         12.15"
"HDIL","EQ","07-Dec-2015","         68.35","         69.05","         70.75","         68.25","         69.45","         69.55","         69.53","    5715890","       3974.07","      18802","     481018","          8.42"
"HDIL","EQ","08-Dec-2015","         69.55","         69.20","         70.05","         64.75","         65.05","         65.10","         67.13","    7987212","       5361.77","      25968","    1613042","         20.20"
"HDIL","EQ","09-Dec-2015","         65.10","         64.50","         65.40","         62.90","         64.25","         64.20","         64.31","   10738831","       6905.63","      38546","    1357951","         12.65"
"HDIL","EQ","10-Dec-2015","         64.20","         65.40","         66.80","         64.35","         65.55","         65.50","         65.27","    7305075","       4767.73","      24677","     651857","          8.92"
"HDIL","EQ","11-Dec-2015","         65.50","         65.95","         66.35","         62.45","         62.65","         62.90","         64.19","   10571609","       6786.10","      37237","    1744295","         16.50"
