"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","30-Oct-2015","        236.95","        238.70","        240.40","        235.10","        237.25","        237.05","        237.93","    8669606","      20627.75","      74888","    3122553","         36.02"
"SBIN","EQ","02-Nov-2015","        237.05","        238.00","        238.00","        232.70","        237.45","        236.90","        235.49","    7611610","      17924.59","      72432","    1800392","         23.65"
"SBIN","EQ","03-Nov-2015","        236.90","        239.35","        239.70","        235.00","        236.55","        235.95","        237.25","    8323201","      19746.97","      70852","    2819673","         33.88"
"SBIN","EQ","04-Nov-2015","        235.95","        239.20","        240.50","        237.00","        238.85","        239.00","        238.81","    8418352","      20103.87","      54933","    3210999","         38.14"
"SBIN","EQ","05-Nov-2015","        239.00","        238.00","        239.00","        233.10","        234.00","        233.90","        236.12","    8906564","      21030.32","      78782","    2876222","         32.29"
"SBIN","EQ","06-Nov-2015","        233.90","        235.60","        244.80","        233.00","        243.90","        243.00","        241.02","   30821077","      74285.82","     205921","    5847777","         18.97"
"SBIN","EQ","09-Nov-2015","        243.00","        236.00","        248.30","        235.60","        245.65","        246.10","        244.83","   22806485","      55838.06","     169076","    8669018","         38.01"
"SBIN","EQ","10-Nov-2015","        246.10","        244.90","        247.25","        240.10","        241.30","        241.20","        243.15","   11767845","      28613.54","      81141","    2845909","         24.18"
"SBIN","EQ","11-Nov-2015","        241.20","        243.00","        244.25","        242.55","        243.20","        243.15","        243.28","    2061681","       5015.68","      24738","     830764","         40.30"
"SBIN","EQ","13-Nov-2015","        243.15","        241.50","        241.80","        237.70","        240.30","        240.25","        239.92","    9082062","      21789.37","      68168","    2716416","         29.91"
"SBIN","EQ","16-Nov-2015","        240.25","        239.50","        249.35","        239.10","        249.00","        248.30","        245.34","   14051479","      34473.47","      99089","    4847882","         34.50"
"SBIN","EQ","17-Nov-2015","        248.30","        250.00","        251.65","        246.70","        247.60","        247.85","        248.93","   11273394","      28063.06","      82525","    2733402","         24.25"
"SBIN","EQ","18-Nov-2015","        247.85","        247.60","        248.70","        239.45","        240.45","        241.00","        243.75","   10397889","      25345.12","      77659","    2986573","         28.72"
"SBIN","EQ","19-Nov-2015","        241.00","        243.05","        245.00","        241.40","        244.25","        243.90","        243.54","    7325199","      17839.78","      51700","    1940649","         26.49"
"SBIN","EQ","20-Nov-2015","        243.90","        243.95","        249.90","        242.00","        243.00","        242.95","        245.51","   13718619","      33680.19","      80095","    4016945","         29.28"
"SBIN","EQ","23-Nov-2015","        242.95","        243.90","        245.25","        240.55","        242.60","        242.70","        243.15","   10552151","      25658.05","      65107","    3008834","         28.51"
"SBIN","EQ","24-Nov-2015","        242.70","        242.50","        244.00","        240.60","        241.60","        241.40","        242.47","    6651669","      16128.34","      52769","    1758561","         26.44"
"SBIN","EQ","26-Nov-2015","        241.40","        241.95","        244.90","        241.00","        243.50","        242.50","        243.10","   13629888","      33134.02","      74502","    6389328","         46.88"
"SBIN","EQ","27-Nov-2015","        242.50","        243.00","        250.50","        242.80","        249.60","        249.70","        247.42","   15149912","      37483.52","      95949","    5447738","         35.96"
"SBIN","EQ","30-Nov-2015","        249.70","        249.65","        253.00","        245.00","        248.65","        250.20","        250.91","   12865469","      32281.28","     107373","    6136099","         47.69"
"SBIN","EQ","01-Dec-2015","        250.20","        250.85","        251.90","        249.30","        249.95","        250.20","        250.54","    9501537","      23805.16","      74258","    2532816","         26.66"
"SBIN","EQ","02-Dec-2015","        250.20","        250.55","        250.65","        243.75","        244.55","        244.60","        245.93","   10881754","      26761.56","      85982","    3835915","         35.25"
"SBIN","EQ","03-Dec-2015","        244.60","        244.15","        244.50","        240.40","        241.50","        241.10","        242.52","    7155630","      17353.89","      53130","    2004524","         28.01"
"SBIN","EQ","04-Dec-2015","        241.10","        240.00","        242.15","        238.05","        241.75","        241.10","        240.27","   11115170","      26706.12","      81492","    4650194","         41.84"
"SBIN","EQ","07-Dec-2015","        241.10","        242.95","        242.95","        238.00","        238.90","        238.65","        239.77","    7531729","      18058.61","      65807","    2924376","         38.83"
"SBIN","EQ","08-Dec-2015","        238.65","        238.10","        239.95","        235.30","        235.40","        235.95","        237.46","    8254434","      19601.17","      65633","    3060162","         37.07"
"SBIN","EQ","09-Dec-2015","        235.95","        235.40","        238.20","        233.60","        235.00","        234.40","        235.80","    7408777","      17469.90","      60770","    2281810","         30.80"
"SBIN","EQ","10-Dec-2015","        234.40","        236.00","        236.75","        230.60","        232.00","        231.95","        232.64","   11713559","      27250.85","     110656","    4727421","         40.36"
"SBIN","EQ","11-Dec-2015","        231.95","        232.90","        233.90","        225.10","        227.20","        227.30","        228.87","   12872949","      29462.94","     107212","    3731130","         28.98"
